Tag;pNR;pVersion;pName;Dauer;Uhrzeit;Teilnehmer;RÃ¤ume;PrÃ¼fer
1;1030;141;Technik Grundlagen;7;8;7;"1/227" ;6317/0;
1;1020;161;Konstruktion Grundlagen;4;8;11;"1/309" ;178/452;
1;2030;161;Grundlagen Entwerfen 2;6;8;76;"1/311" "3/101" "3/111" "3/201" ;692/0;
1;4040;161;Grundl.Recht 1;3;8;55;"3/203" "3/211" "3/212" "3/214" "3/215" "3/223" ;363/0;
1;5010;161;Grundl.Recht 2;2;8;72;"3/224" "2/264" "2/301" "2/214" "1/010" "1/013" ;363/0;
1;1921010;192;Grundlagen Entwerfen 1;2;8;93;"1/020" "L/107" "L/106" "L/111" "L/116" "L/123" "L/125" "L/126" "L/128" ;15968/0;
1;1010;162;Mathematik I;2;8;33;"1/U27" "1/U28" ;95/0;
1;1050;162;Bauphysik;2;8;35;"3/323" "8/008" "8/023" ;1471/0;
1;2010;162;Mathematik II;4;8;65;"8/043" "8/141" "8/146" "8/341" "8/346" "8/003" ;15651/5556;
1;2030;162;Baustoffkunde II;3;8;66;"1/U37" "1/106" "1/108" "1/109" "1/110" "1/111" ;499/0;
1;2060;162;Vermessungskunde;2;8;35;"1/303" "1/306" "1/206" ;521/0;
1;3010;162;Baustatik I;3;8;21;"1/208" "1/209" ;15291/0;
1;3030;162;Konstrukt. Ingenieurbau I;3;8;14;"1/210" ;820/0;
1;3050;162;Wasserwesen;3;8;10;"1/211" ;15621/8617;
1;4010;162;Geotechnik III;2;8;57;"1/220" "1/222" "1/225" ;1126/3281;
1;2010;182;Geodatenmanagement;0;8;65;"1/227" "1/309" "1/311" "3/101" "3/111" ;521/27;
1;7020;112;Bauen im Bestand;0;8;28;"1/227" "1/309" "1/311" ;3674/14014;
1;7020;112;Bauen im Bestand;0;8;28;"1/227" "1/309" "1/311" ;3674/14014;
1;4030;141;Grundlagen Organisation 1;3;10;3;"3/224" ;1224/0;
1;4030;161;Grundlagen Organisation 1;3;10;57;"2/264" "2/301" "2/214" "1/010" "1/013" "1/020" ;1224/0;
1;1921030;192;Grundlagen Technik;6;10;93;"L/107" "L/106" "L/111" "L/116" "L/123" "L/125" "L/126" "L/128" "1/U27" ;6317/0;
1;1060;162;Wirt., Recht u. Manag. I;2;10;20;"1/U28" ;1218/6415;
1;2040;162;Geotechnik I;2;10;38;"3/323" "8/008" "8/023" ;815/0;
1;3020;162;Geotechnik II;3;10;5;"1/303" ;3281/0;
